epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.712228,2.623,3.82904,1.45939,0,0,0,0,4.45645,5.69636,2.28494,4e-05,4e-05,4e-05
2,1.5436,1.64248,3.69468,0.922,0,0,0,0,4.45645,5.69636,2.28494,5.05e-05,5.05e-05,5.05e-05
