epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36009,3.50122,3.57861,6.45126,1.67463,0,0,0,0,0,0,0,0,4.8302,6.27107,9.5485,2.40431,4e-05,4e-05,4e-05
2,3.01696,1.92486,4.89083,4.62965,1.11464,0,0,0,0,0,0,0,0,4.8302,6.27107,9.5485,2.40431,8.02e-05,8.02e-05,8.02e-05
3,4.29925,2.6429,3.03944,3.97538,1.46542,0,0,0,0,0,0,0,0,5.00653,6.21153,8.36774,2.56113,9.664e-05,9.664e-05,9.664e-05
4,5.46942,3.23828,5.11857,7.85907,2.19055,0,0,0,0,0,0,0,0,5.00653,6.21153,8.36774,2.56113,8.932e-05,8.932e-05,8.932e-05
5,6.64829,5.08694,7.88132,6.96336,2.74552,0,0,0,0,0,0,0,0,5.00653,6.21153,8.36774,2.56113,5.824e-05,5.824e-05,5.824e-05
